"id","date","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
36001,"2022-11-06",32,admin.,married,university.degree,no,yes,no,cellular,may,tue,293,2,999,2,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36002,"2022-11-06",65,retired,married,unknown,no,no,no,cellular,may,tue,318,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36003,"2022-11-06",30,housemaid,married,high.school,no,yes,no,cellular,may,tue,84,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36004,"2022-11-06",31,admin.,married,university.degree,no,yes,no,cellular,may,tue,309,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36005,"2022-11-06",34,admin.,married,university.degree,no,no,no,cellular,may,tue,111,1,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36006,"2022-11-06",38,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,119,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36007,"2022-11-06",31,admin.,married,university.degree,no,yes,no,cellular,may,tue,1078,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36008,"2022-11-06",35,admin.,married,high.school,no,yes,no,cellular,may,tue,159,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36009,"2022-11-06",58,management,married,university.degree,no,yes,no,cellular,may,tue,640,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36010,"2022-11-06",39,admin.,married,high.school,no,no,no,cellular,may,tue,109,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36011,"2022-11-06",33,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,482,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36012,"2022-11-06",39,admin.,married,high.school,no,yes,no,cellular,may,tue,217,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36013,"2022-11-06",39,admin.,married,high.school,no,yes,no,cellular,may,tue,71,5,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36014,"2022-11-06",27,student,single,high.school,no,yes,yes,cellular,may,tue,91,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36015,"2022-11-06",36,admin.,single,university.degree,no,yes,no,cellular,may,tue,260,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36016,"2022-11-06",40,student,single,high.school,no,yes,no,cellular,may,tue,333,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36017,"2022-11-06",55,retired,married,high.school,no,yes,no,cellular,may,tue,228,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36018,"2022-11-06",55,retired,married,high.school,no,no,no,cellular,may,tue,256,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36019,"2022-11-06",51,retired,married,high.school,no,yes,no,cellular,may,tue,302,1,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36020,"2022-11-06",61,unknown,single,basic.4y,no,yes,yes,cellular,may,tue,131,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36021,"2022-11-06",61,unknown,single,basic.4y,no,yes,no,cellular,may,tue,154,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36022,"2022-11-06",25,admin.,single,university.degree,no,yes,yes,cellular,may,tue,500,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36023,"2022-11-06",35,admin.,married,high.school,no,no,no,cellular,may,tue,172,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36024,"2022-11-06",61,unknown,single,basic.4y,no,yes,no,cellular,may,tue,574,1,3,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36025,"2022-11-06",55,housemaid,married,professional.course,no,yes,no,telephone,may,tue,137,5,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36026,"2022-11-06",29,admin.,single,university.degree,no,yes,no,cellular,may,tue,244,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36027,"2022-11-06",27,admin.,single,university.degree,no,no,no,cellular,may,tue,134,1,3,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36028,"2022-11-06",29,self-employed,married,university.degree,no,no,no,cellular,may,tue,376,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36029,"2022-11-06",31,technician,single,university.degree,no,no,no,cellular,may,tue,911,1,2,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36030,"2022-11-06",24,technician,single,professional.course,no,no,no,telephone,may,tue,240,4,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36031,"2022-11-06",35,admin.,married,high.school,no,no,no,telephone,may,tue,122,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36032,"2022-11-06",45,admin.,divorced,university.degree,no,no,no,cellular,may,tue,167,1,9,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36033,"2022-11-06",45,admin.,divorced,university.degree,no,yes,no,cellular,may,tue,351,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36034,"2022-11-06",33,admin.,married,university.degree,no,yes,no,cellular,may,tue,165,1,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,yes
36035,"2022-11-06",28,technician,single,university.degree,no,yes,no,cellular,may,tue,326,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36036,"2022-11-06",28,unemployed,single,high.school,no,no,yes,cellular,may,tue,58,1,3,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36037,"2022-11-06",55,entrepreneur,married,professional.course,no,yes,no,cellular,may,tue,56,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36038,"2022-11-06",31,technician,single,university.degree,no,yes,no,cellular,may,tue,145,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36039,"2022-11-06",31,admin.,married,high.school,no,yes,no,cellular,may,tue,208,2,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,yes
36040,"2022-11-06",29,self-employed,married,university.degree,no,no,no,cellular,may,tue,94,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36041,"2022-11-06",35,management,single,university.degree,no,no,no,cellular,may,tue,68,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36042,"2022-11-06",34,admin.,single,university.degree,no,no,no,cellular,may,tue,171,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36043,"2022-11-06",53,technician,married,professional.course,unknown,yes,no,cellular,may,tue,103,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36044,"2022-11-06",28,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,3509,2,3,2,success,-1.8,"92 893",-46.2,"1 266",5099,no
36045,"2022-11-06",54,admin.,divorced,professional.course,no,yes,no,cellular,may,tue,81,1,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36046,"2022-11-06",59,retired,married,basic.4y,no,no,no,cellular,may,tue,128,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36047,"2022-11-06",22,student,single,high.school,no,no,no,cellular,may,tue,304,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36048,"2022-11-06",36,admin.,married,professional.course,no,no,no,cellular,may,tue,55,1,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36049,"2022-11-06",33,admin.,divorced,university.degree,no,no,no,cellular,may,tue,140,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36050,"2022-11-06",36,services,married,high.school,no,yes,no,cellular,may,tue,83,1,1,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36051,"2022-11-06",37,entrepreneur,single,basic.9y,no,yes,no,cellular,may,tue,222,1,2,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36052,"2022-11-06",36,services,married,high.school,no,yes,no,cellular,may,tue,145,1,999,2,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36053,"2022-11-06",36,admin.,married,high.school,no,no,no,telephone,may,tue,1346,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36054,"2022-11-06",28,admin.,single,university.degree,no,no,no,cellular,may,tue,118,1,999,2,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36055,"2022-11-06",42,admin.,married,university.degree,no,no,no,cellular,may,tue,85,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36056,"2022-11-06",42,admin.,married,university.degree,no,yes,no,cellular,may,tue,251,1,999,1,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36057,"2022-11-06",31,technician,single,university.degree,no,yes,yes,cellular,may,tue,69,1,3,1,success,-1.8,"92 893",-46.2,"1 266",5099,no
36058,"2022-11-06",22,student,single,high.school,no,no,no,cellular,may,tue,245,2,999,2,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36059,"2022-11-06",33,admin.,single,high.school,no,yes,no,cellular,may,tue,135,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36060,"2022-11-06",29,admin.,single,university.degree,no,yes,no,cellular,may,tue,88,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,no
36061,"2022-11-06",33,admin.,single,university.degree,no,yes,no,cellular,may,tue,125,1,999,2,failure,-1.8,"92 893",-46.2,"1 266",5099,no
36062,"2022-11-06",25,admin.,single,university.degree,no,yes,no,cellular,may,tue,228,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36063,"2022-11-06",22,student,single,high.school,no,yes,yes,cellular,may,tue,131,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
36064,"2022-11-06",28,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,390,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 266",5099,yes
